Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Mouse	Endometrial cancer	17/58	0.000533103656397327	0.0030104677067143	0	0	2.911445558542472	21.942967383378868	TCF7L2;CDKN1A;TCF7L1;PDPK1;AXIN1;ILK;BRAF;PIK3CB;FOXO3;EGFR;PIK3CA;MAPK1;CTNNB1;KRAS;GRB2;RAF1;SOS2
KEGG_2019_Mouse	GABAergic synapse	23/90	0.0005584411240070163	0.0030386341900297	0	0	2.4126745305729416	18.071804085499146	GABRB3;NSF;GABRB2;GABRB1;SLC38A1;GABARAPL1;PRKCB;PLCL1;CACNA1B;CACNA1A;ABAT;CACNA1D;CACNA1C;SLC6A1;GPHN;GABARAP;ADCY5;TRAK2;GNAO1;GABRR2;ADCY9;GNB1;SLC38A2
KEGG_2019_Mouse	Hepatocellular carcinoma	37/171	0.0005591930974707555	0.0030386341900297	0	0	1.9441448475384635	14.559731307091267	RB1;CDKN1A;SMARCD3;PIK3CB;EGFR;LRP6;MAPK1;ARID2;BRD7;TCF7L2;SMARCC1;SMAD4;TCF7L1;SMARCC2;SMAD3;GSTM1;PRKCB;TGFB3;CSNK1A1;FZD7;TXNRD1;AXIN1;BRAF;SMARCA2;ARID1B;TGFBR1;TGFBR2;CDK6;PIK3CA;RPS6KB1;CTNNB1;GRB2;KRAS;RAF1;SOS2;BCL2L1;NFE2L2
KEGG_2019_Mouse	Cellular senescence	39/185	0.0006910371440091693	0.0036855314347155	0	0	1.8810292874933283	13.68884637685298	RB1;CDKN1A;ITPR1;ITPR2;CACNA1D;PIK3CB;FOXO3;PPP1CB;PPP1CC;CCND2;PPP3CC;RBBP4;MAPK1;TRPM7;LIN52;SMAD3;TGFB3;NFATC3;NFATC2;TSC1;HIPK1;MAPK14;SIRT1;NFKB1;TGFBR1;HIPK3;TGFBR2;RBL2;RAD50;CDK6;PIK3CA;MAPKAPK2;VDAC3;MDM2;VDAC1;KRAS;RAF1;CALM1;SQSTM1
KEGG_2019_Mouse	Chagas disease (American trypanosomiasis)	25/103	0.0007524933084867425	0.0039403285971669	0	0	2.2530318081165537	16.20407164405702	C1QB;C1QA;PIK3CB;PPP2CA;MAPK9;MAPK8;MAPK1;MAP2K4;SMAD3;CHUK;TGFB3;MAPK14;NFKB1;TGFBR1;TGFBR2;NFKBIA;GNAO1;PLCB4;PIK3CA;PPP2R2C;PPP2R2B;TRAF6;CALR;PLCB1;C1QC
KEGG_2019_Mouse	Human cytomegalovirus infection	50/255	0.0007905912671520242	0.0040658979453532	0	0	1.7193481351853876	12.280838565168873	RB1;CDKN1A;PIK3CB;PPP3CC;ITGAV;RAC1;B2M;JAK1;PDIA3;ARHGEF11;ARHGEF12;CHUK;PRKCB;TSC1;RHOA;ADCY9;PLCB4;CREB1;PIK3CA;PLCB1;RAF1;SOS2;CRK;ROCK1;ROCK2;PXN;ITPR1;ITPR2;IL6RA;EGFR;ADCY5;MAPK1;RIPK1;STAT3;NFATC3;NFATC2;MAPK14;NFKB1;NFKBIA;GNAO1;CXCL12;CDK6;RPS6KB1;GNB1;MDM2;CTNNB1;GRB2;KRAS;CALR;CALM1
KEGG_2019_Mouse	Focal adhesion	41/199	0.0008287874341818431	0.0041875575621819	0	0	1.8275226480477949	12.967272565066503	ITGB5;ROCK1;ROCK2;PXN;RASGRF1;PDGFA;XIAP;ILK;PIK3CB;EGFR;ARHGAP35;PPP1CB;RAP1B;PPP1CC;MAPK9;MAPK8;CCND2;PDGFD;TNR;MAPK1;ITGAV;PIP5K1C;RAC1;FLNC;PAK2;PPP1R12A;PRKCB;PDPK1;BRAF;PARVA;RHOA;VAV2;PIK3CA;BCL2;CTNNB1;GRB2;TLN1;RAF1;PPP1R12B;SOS2;CRK
KEGG_2019_Mouse	Long-term depression	17/61	0.0010040934273381	0.0049858432254031	0	0	2.7124716594748777	18.72600978264324	GRIA1;GUCY1A2;GRIA2;PRKCB;ITPR1;ITPR2;CACNA1A;BRAF;PPP2CA;GNAO1;PLCB4;MAPK1;KRAS;RAF1;PLCB1;PRKG1;GRIA3
KEGG_2019_Mouse	Ras signaling pathway	46/233	0.0010788053182708	0.0051786330925936	0	0	1.733038203626439	11.839945500357333	CSF1R;RAB5B;RASGRF1;PLA2G3;PDGFA;RASAL1;PIK3CB;FGF1;EFNA5;STK4;EGFR;RAP1B;MAPK9;RASSF1;GRIN2A;MAPK8;PDGFD;ABL1;PLCE1;ABL2;MAPK1;SHOC2;RAC1;RALGDS;PAK2;BRAP;NTRK2;RALBP1;CHUK;PRKCB;INSR;PTPN11;GRIN2B;RHOA;NFKB1;PIK3CA;RASA3;GNB1;GRB2;KRAS;CALM1;RGL1;RAF1;RGL2;SOS2;BCL2L1
KEGG_2019_Mouse	B cell receptor signaling pathway	19/72	0.0010788818942903	0.0051786330925936	0	0	2.517515875186097	17.199240625539748	CHUK;PRKCB;NFATC3;NFATC2;PIK3CB;NFKB1;VAV2;NFKBIA;PPP3CC;PIK3CA;INPP5D;BLNK;MAPK1;KRAS;GRB2;RAC1;RAF1;PIK3AP1;SOS2
KEGG_2019_Mouse	Hippo signaling pathway	34/159	0.0011359835342073	0.0053633320959295	0	0	1.9138047792628596	12.976087204999413	YWHAE;PATJ;BMPR2;YWHAB;FGF1;BBC3;GLI2;PPP1CB;PPP2CA;PPP1CC;RASSF1;CCND2;RASSF4;YWHAG;YWHAH;TCF7L2;SMAD4;TCF7L1;SMAD3;TGFB3;FZD7;AXIN1;CSNK1E;MPP5;TGFBR1;TGFBR2;LATS1;FRMD6;PPP2R2C;PPP2R2B;ID1;CTNNB1;NF2;BMPR1A
KEGG_2019_Mouse	C-type lectin receptor signaling pathway	26/112	0.0012106565204127	0.005623694804498	0	0	2.1250668944991595	14.273208339373612	ITPR1;ITPR2;CBLB;PIK3CB;MAPK9;MAPK8;PPP3CC;MAPK1;ARHGEF12;CHUK;STAT1;NFATC3;NFATC2;PTPN11;MAPK14;NFKB1;RHOA;NFKBIA;PIK3CA;MAPKAPK2;MDM2;KRAS;RAF1;CALM1;MAP3K14;IRF9
KEGG_2019_Mouse	Th17 cell differentiation	24/102	0.0015057249303175	0.0068833139671661	0	0	2.1620380426350576	14.049962742398264	SMAD4;HSP90AA1;SMAD3;HSP90AB1;CHUK;STAT1;STAT3;NFATC3;NFATC2;IL6RA;MAPK14;NFKB1;TGFBR1;RUNX1;TGFBR2;NFKBIA;MAPK9;MAPK8;PPP3CC;MAPK1;STAT6;IL6ST;JAK2;JAK1
KEGG_2019_Mouse	Bacterial invasion of epithelial cells	19/74	0.0015355327789146	0.0069098975051157	0	0	2.425691699604743	15.715760274250831	SEPT11;ARPC1B;ARPC1A;PXN;RHOG;ILK;CLTA;SEPT1;PIK3CB;WASL;CBL;RHOA;DNM2;PIK3CA;ELMO1;CTNNB1;RAC1;CRK;WASF2
KEGG_2019_Mouse	TGF-beta signaling pathway	22/91	0.0016028207823667	0.007101729004948	0	0	2.239723346710361	14.414837539251296	ACVR1;CREBBP;SMAD4;BMPR2;SMAD3;ROCK1;ZFYVE9;TGFB3;CUL1;SMAD6;RHOA;TGFBR1;TGFBR2;RBX1;PPP2CA;RPS6KB1;ID1;EP300;MAPK1;SKP1A;NEO1;BMPR1A
KEGG_2019_Mouse	Parkinson disease	31/144	0.0016358958173442	0.0071384544756839	0	0	1.9292321791677407	12.377113913381429	NDUFB9;NDUFB7;NDUFB11;LRRK2;NDUFA10;ATP5A1;ATP5C1;ATP5H;COX6A1;ATP5O;ATP5G2;ATP5G1;UBE2L3;UBE2J1;ADCY5;UCHL1;ATP5D;NDUFV1;SNCA;COX8A;NDUFA4;SDHC;UBE2G1;SNCAIP;PINK1;NDUFS7;NDUFS4;VDAC3;NDUFS3;VDAC1;UBA1
KEGG_2019_Mouse	Vasopressin-regulated water reabsorption	13/43	0.0017150815631055	0.0073722908981253	0	0	3.0397724230254357	19.358166430904767	DYNC2H1;NSF;DCTN5;DYNC1H1;RAB5B;DCTN2;RAB11A;RAB11B;DYNC1LI1;DYNC1LI2;CREB1;ADCY9;DYNC1I1
KEGG_2019_Mouse	Glioma	19/75	0.0018194059605763	0.0077057193624408	0	0	2.38223918794571	15.030131224831738	RB1;CDKN1A;CAMK2D;CAMK1D;PRKCB;PDGFA;BRAF;PIK3CB;EGFR;CDK6;PIK3CA;MDM2;MAPK1;KRAS;GRB2;CAMK1;RAF1;CALM1;SOS2
KEGG_2019_Mouse	Insulin resistance	25/110	0.0020349868328965	0.0084929545130094	0	0	2.0666571713431137	12.807624077842762	SLC27A1;IRS1;PRKAG1;PRKAG2;IRS2;PIK3CB;PPP1CB;PPP1CC;GYS1;MAPK9;MAPK8;RPS6KA1;MLXIP;PRKCB;PDPK1;PRKCE;INSR;STAT3;PTPN11;NFKB1;NFKBIA;CREB1;PIK3CA;RPS6KB1;PPARA
KEGG_2019_Mouse	Oocyte meiosis	26/116	0.0020642597774675	0.0084929545130094	0	0	2.03015296281344	12.552402430119804	YWHAE;CAMK2D;YWHAB;CUL1;ITPR1;ITPR2;SMC3;ANAPC10;ADCY5;PPP1CB;PPP2CA;PPP1CC;PPP3CC;PPP2R5E;RPS6KA1;MAPK1;SKP1A;YWHAG;YWHAH;PPP2R5A;RBX1;ADCY9;ANAPC4;ANAPC5;CPEB3;CALM1
KEGG_2019_Mouse	Hepatitis C	33/160	0.0024815355842383	0.0100659471586006	0	0	1.827313589849852	10.961830787505082	RB1;YWHAE;CDKN1A;YWHAB;PIK3CB;EGFR;PPP2CA;MAPK1;RIPK1;YWHAG;YWHAH;JAK1;CHUK;DDX58;STAT1;STAT3;BRAF;NFKB1;PIAS1;NFKBIA;CDK6;PIK3CA;PPP2R2C;PPP2R2B;TRAF6;CTNNB1;GRB2;KRAS;EIF3E;RAF1;PPARA;SOS2;IRF9
KEGG_2019_Mouse	Circadian rhythm	10/30	0.0025828010652126	0.0103312042608507	0	0	3.505214600882471	20.887155931751668	PER2;CREB1;CRY2;CUL1;PRKAG1;PRKAG2;FBXL3;CSNK1E;SKP1A;RBX1
KEGG_2019_Mouse	cAMP signaling pathway	41/211	0.0026410268540737	0.0104193936160716	0	0	1.6973455344769914	10.076440245090192	GRIA1;RYR2;GRIA2;CAMK2D;ROCK1;ROCK2;PDE3B;CACNA1D;CACNA1C;PIK3CB;ADCY5;PPP1CB;RAP1B;PPP1CC;MAPK9;GRIN2A;MAPK8;ADORA1;PLCE1;EP300;MAPK1;RAC1;GRIA3;CREBBP;PPP1R12A;BRAF;ATP2B2;ATP2B1;GRIN2B;RHOA;NFKB1;VAV2;NFKBIA;ADCY9;CREB1;PDE10A;PIK3CA;ACOX1;CALM1;PPARA;RAF1
KEGG_2019_Mouse	NOD-like receptor signaling pathway	40/205	0.0027339233924125	0.0105344321114633	0	0	1.7059265000799717	10.068408161937926	HSP90AB1;ITPR1;XIAP;ITPR2;NOD1;TANK;GABARAP;MAPK9;MAPK8;NAMPT;MFN1;MAPK1;TRPM7;RIPK1;MAP3K7;ATG5;CTSB;JAK1;GABARAPL1;HSP90AA1;CHUK;STAT1;NEK7;IL18;CYBA;MAPK14;RHOA;NFKB1;NFKBIA;NAIP2;PLCB4;TRAF6;VDAC3;BCL2;VDAC1;TAB2;TAB1;PLCB1;IRF9;BCL2L1
KEGG_2019_Mouse	Ferroptosis	12/40	0.0027433416956935	0.0105344321114633	0	0	3.0055055342088663	17.72821033989525	FTL1;GCLC;GPX4;FTH1;PCBP2;SLC11A2;VDAC3;SLC3A2;SAT1;SLC39A14;CP;ATG5
KEGG_2019_Mouse	Axon guidance	36/180	0.0028228631164167	0.0106732192728623	0	0	1.758512363194163	10.322473937026697	ROBO2;NRP1;CAMK2D;BMPR2;ROCK1;ROCK2;ILK;PIK3CB;EFNA5;ABLIM1;PPP3CC;PLXNA2;ABL1;MAPK1;RAC1;LRRC4C;NEO1;PAK2;PLXNA4;NTNG1;EPHA6;ARHGEF12;RYK;NFATC3;NFATC2;PTPN11;UNC5D;SSH2;RHOA;ENAH;CXCL12;PIK3CA;PLXNB3;PLXNB1;KRAS;RAF1
KEGG_2019_Mouse	Fluid shear stress and atherosclerosis	30/143	0.0029100450010772	0.0106732192728623	0	0	1.8662439300194311	10.898093295460097	BMPR2;HSP90AB1;PDGFA;PIK3CB;HSP90B1;MAPK9;MAPK8;SUMO1;CTSL;SUMO2;ITGAV;RAC1;MAP3K7;ACVR1;MAP2K4;MEF2C;HSP90AA1;GSTM1;CHUK;CYBA;MAPK14;NFKB1;RHOA;PIK3CA;BCL2;CTNNB1;CALM1;SQSTM1;NFE2L2;BMPR1A
KEGG_2019_Mouse	AGE-RAGE signaling pathway in diabetic complications	23/101	0.0029277233422087	0.0106732192728623	0	0	2.071117659222498	12.081927359595472	SMAD4;SMAD3;PRKCB;TGFB3;STAT1;PRKCE;STAT3;PIK3CB;MAPK14;NFKB1;TGFBR1;TGFBR2;MAPK9;MAPK8;PLCB4;PIK3CA;BCL2;PLCE1;MAPK1;KRAS;RAC1;JAK2;PLCB1
KEGG_2019_Mouse	T cell receptor signaling pathway	23/101	0.0029277233422087	0.0106732192728623	0	0	2.071117659222498	12.081927359595472	CHUK;PDPK1;NFATC3;NFATC2;CBLB;PIK3CB;MAPK14;NFKB1;RHOA;VAV2;NFKBIA;MAPK9;PTPRC;PPP3CC;PIK3CA;MAPK1;GRB2;KRAS;RAF1;MAP3K7;MAP3K14;SOS2;PAK2
KEGG_2019_Mouse	Valine, leucine and isoleucine degradation	15/56	0.0029785222705015	0.0107226801738055	0	0	2.566857501372441	14.929685115754928	MCCC2;ACAA2;ECHS1;HIBADH;BCKDHB;ABAT;ACAA1A;ACADSB;HADHA;HMGCL;ALDH6A1;IVD;PCCB;BCAT1;BCAT2
KEGG_2019_Mouse	Glucagon signaling pathway	23/102	0.0033417236053105	0.0118816839299929	0	0	2.0447835851367904	11.657860356961962	CREBBP;CAMK2D;PDE3B;ITPR1;PRKAG1;ITPR2;PRKAG2;PHKA1;CPT1C;PHKA2;SIRT1;ACACA;LDHB;GYS1;PPP3CC;CREB1;PKM;PLCB4;PHKG2;EP300;CALM1;PPARA;PLCB1
KEGG_2019_Mouse	Amphetamine addiction	17/68	0.0035862366111682	0.0125955627319078	0	0	2.3392330383480826	13.171407008187764	GRIA1;GRIA2;CAMK2D;PRKCB;HDAC1;CACNA1D;CACNA1C;SIRT1;GRIN2B;ADCY5;PPP1CB;PPP1CC;GRIN2A;PPP3CC;CREB1;CALM1;GRIA3
KEGG_2019_Mouse	Viral carcinogenesis	43/229	0.0040849260495288	0.014046133299502	0	0	1.626831453798409	8.948307760441628	RB1;YWHAE;GTF2A1;CDKN1A;GTF2A2;DDX3X;YWHAB;HDAC1;PXN;UBR4;CHD4;PIK3CB;HDAC8;CCND2;EP300;MAPK1;RAC1;SKP2;YWHAG;JAK1;YWHAH;CREBBP;USP7;STAT3;GTF2H2;RHOA;NFKB1;NFKBIA;RBL2;KAT2B;HNRNPK;CDK6;CREB1;PKM;PIK3CA;MAPKAPK2;VDAC3;MDM2;GRB2;KRAS;IL6ST;IRF9;HIST1H2BC
KEGG_2019_Mouse	Vascular smooth muscle contraction	29/140	0.0040967888790214	0.014046133299502	0	0	1.8360098174164463	10.093559099270731	ROCK1;ROCK2;ITPR1;PLA2G3;ITPR2;CACNA1D;CACNA1C;ADCY5;PPP1CB;PPP1CC;MAPK1;PRKG1;ARHGEF11;GUCY1A2;PPP1R14A;ARHGEF12;PPP1R12A;PRKCB;PRKCE;BRAF;RHOA;MYL6;ADCY9;PLCB4;KCNMA1;RAF1;CALM1;PPP1R12B;PLCB1
KEGG_2019_Mouse	PI3K-Akt signaling pathway	62/357	0.0045345232229982	0.0153640316261586	0	0	1.4810879120116096	7.992002705512204	YWHAE;CDKN1A;CSF3R;HSP90AB1;ITGB5;IRS1;YWHAB;PIK3CB;FGF1;GYS1;STK11;CCND2;PPP2R5E;TNR;ITGAV;RAC1;JAK2;YWHAG;JAK1;YWHAH;HSP90AA1;CHUK;PDPK1;PPP2R5A;TSC1;RBL2;CREB1;PIK3CA;DDIT4;SGK3;SGK1;RAF1;SOS2;PHLPP2;CSF1R;PDGFA;IL6RA;FOXO3;EFNA5;EGFR;HSP90B1;PPP2CA;ERBB3;PPP2R3C;PDGFD;MAPK1;NTRK2;INSR;PPP2R3A;NFKB1;CDK6;RPS6KB1;PPP2R2C;PPP2R2B;GNB1;MDM2;BCL2;GRB2;PKN2;KRAS;PIK3AP1;BCL2L1
KEGG_2019_Mouse	Adrenergic signaling in cardiomyocytes	30/148	0.0049337668527503	0.0165223820185128	0	0	1.7866517713337948	9.490073374962206	RYR2;CAMK2D;CACNA1D;CACNA1C;SLC8A1;ADCY5;PPP1CB;PPP2CA;PPP1CC;PPP2R5E;PPP2R3C;MAPK1;TPM3;CACNA2D1;TPM1;CACNA2D3;PPP2R5A;ATP2B2;PPP2R3A;ATP2B1;MAPK14;CACNB2;ADCY9;CREB1;PLCB4;PPP2R2C;PPP2R2B;BCL2;CALM1;PLCB1
KEGG_2019_Mouse	Human T-cell leukemia virus 1 infection	45/245	0.0051384320067543	0.0170099818154626	0	0	1.5833299430431245	8.345743693006902	RB1;NRP1;CDKN1A;SPI1;CRTC3;XIAP;PIK3CB;ANAPC10;ADCY5;MAPK9;MAPK8;PPP3CC;CCND2;EP300;MAPK1;B2M;JAK1;IL15RA;MAP3K3;MAP2K4;CREBBP;SMAD4;MAP3K1;SMAD3;CHUK;TGFB3;NFATC3;NFATC2;NFKB1;TGFBR1;TGFBR2;NFKBIA;KAT2B;ADCY9;CREB1;PIK3CA;VDAC3;ANAPC4;VDAC1;ANAPC5;KRAS;CALR;TLN1;MAP3K14;BCL2L1
KEGG_2019_Mouse	Lysosome	26/124	0.0053618100776168	0.0175477420722004	0	0	1.8635693276099297	9.743585871344376	HEXB;AP4E1;CLTA;LIPA;GNS;CTSS;LAPTM4A;GNPTAB;CTSL;AP1G1;PSAP;ATP6V0A2;SLC17A5;ATP6V1H;ARSB;ATP6V0A1;CTSB;ABCA2;HGSNAT;ATP6V0B;SORT1;FUCA1;SLC11A2;AP1B1;AP3D1;TPP1
KEGG_2019_Mouse	Apelin signaling pathway	28/138	0.0063613229466117	0.0205849551530807	0	0	1.7881946740128558	9.04382838356632	RYR2;BECN1;PDE3B;ITPR1;PRKAG1;ITPR2;PRKAG2;NRF1;SLC8A1;GABARAP;RYR3;ADCY5;MAPK1;MEF2D;GABARAPL1;MEF2C;SMAD4;SMAD3;PRKCE;TGFBR1;ADCY9;PLCB4;RPS6KB1;GNB1;KRAS;RAF1;CALM1;PLCB1
KEGG_2019_Mouse	Prolactin signaling pathway	17/72	0.0066627071262157	0.0211891206185599	0	0	2.1686096686901197	10.867400532357422	STAT1;STAT3;PIK3CB;FOXO3;MAPK14;NFKB1;MAPK9;MAPK8;CCND2;PIK3CA;MAPK1;KRAS;GRB2;JAK2;RAF1;SOS2;SOCS7
KEGG_2019_Mouse	Rap1 signaling pathway	39/209	0.006695173528781	0.0211891206185599	0	0	1.6132376814362108	8.07646211940285	CSF1R;DOCK4;PDGFA;PIK3CB;SIPA1L2;FGF1;EFNA5;SIPA1L3;EGFR;ADCY5;RAP1B;GRIN2A;SIPA1L1;PDGFD;PLCE1;MAPK1;RAC1;RALGDS;FARP2;PRKCB;INSR;BRAF;MAPK14;GRIN2B;RHOA;GNAO1;ADCY9;PLCB4;PIK3CA;ID1;RAPGEF2;CTNNB1;KRAS;TLN1;CALM1;PLCB1;RAF1;RAPGEF6;CRK
KEGG_2019_Mouse	Toxoplasmosis	23/108	0.0069894926703287	0.0218801509679857	0	0	1.899791271347249	9.429323886176755	HSPA8;CHUK;TGFB3;PDPK1;STAT1;STAT3;XIAP;MAPK14;NFKB1;NFKBIA;GNAO1;MAPK9;MAPK8;TRAF6;BCL2;MAPK1;TAB2;TAB1;JAK2;MAP3K7;HSPA1B;BCL2L1;JAK1
KEGG_2019_Mouse	Thermogenesis	42/231	0.0079800606656236	0.0247124459322538	0	0	1.5628696555149215	7.549925212381528	NDUFB9;KDM3A;NDUFB7;SMARCD3;KDM1A;NDUFB11;ATP5A1;NDUFA10;PRKAG1;ATP5C1;PRKAG2;ATP5H;ATP5O;COX6A1;ATP5G2;ATP5G1;ADCY5;RPS6KA1;ATP5D;NDUFV1;PRKG1;COX8A;SMARCC1;SMARCC2;NDUFA4;FRS2;TSC1;SDHC;CPT1C;MAPK14;SMARCA2;ARID1B;ADCY9;CREB1;NDUFS7;RPS6KB1;NDUFS4;NDUFS3;GRB2;KRAS;SOS2;PNPLA2
KEGG_2019_Mouse	Nicotine addiction	11/40	0.0083547007714639	0.0255973810870385	0	0	2.6588254829246694	12.722296295725682	GABRB3;GRIA1;GRIA2;GABRB2;GABRR2;GABRB1;GRIN2A;CACNA1B;CACNA1A;GRIN2B;GRIA3
KEGG_2019_Mouse	Apoptosis	28/141	0.0085710455743172	0.0258754646460648	0	0	1.740420130508626	8.283295611338554	BECN1;DIABLO;ITPR1;ITPR2;XIAP;PIK3CB;CTSS;BBC3;MAPK9;MAPK8;CASP6;CTSL;MAPK1;RIPK1;SPTAN1;CTSB;CHUK;PDPK1;NFKB1;ERN1;NFKBIA;PIK3CA;BCL2;BIRC6;KRAS;RAF1;MAP3K14;BCL2L1
KEGG_2019_Mouse	RIG-I-like receptor signaling pathway	16/68	0.0086251548820216	0.0258754646460648	0	0	2.158300083511181	10.258556469127203	OTUD5;DDX3X;MAP3K1;CHUK;DDX58;MAPK14;TANK;NFKB1;NFKBIA;MAPK9;MAPK8;TRAF6;TRIM25;RIPK1;MAP3K7;ATG5
KEGG_2019_Mouse	RNA transport	32/167	0.0089377046295617	0.0265366900341626	0	0	1.6654945516135318	7.856931367491485	NXT1;NUP188;FMR1;NUP160;FXR1;PNN;NXF1;SUMO1;TGS1;TPR;SUMO2;EIF2S3Y;PAIP1;NUP214;UPF2;RANBP2;EIF5B;UPF3B;NUP153;THOC2;EIF2S2;THOC7;SRRM1;EIF5;DDX39B;XPOT;EIF3H;EIF3E;NUP98;PABPC1;EIF4G2;EIF4G1
KEGG_2019_Mouse	Proteasome	12/46	0.0093868794135726	0.0275859313378461	0	0	2.474272085389756	11.550996642842556	PSMB6;PSMA6;PSMB4;PSMD11;PSMD7;PSMC6;PSMD4;PSMA1;PSMD13;PSMB1;PSME4;PSMA7
KEGG_2019_Mouse	Amyotrophic lateral sclerosis (ALS)	13/52	0.0101815170341977	0.0296189586449389	0	0	2.3370816599732263	10.720617188860675	GRIA1;GRIA2;GPX1;DERL1;MAPK14;GRIN2B;GRIN2A;PPP3CC;ALS2;CAT;BCL2;RAC1;BCL2L1
KEGG_2019_Mouse	Calcium signaling pathway	35/189	0.0110001747790616	0.0316805033636976	0	0	1.5970789745100928	7.202577218064866	CHRM3;RYR2;CAMK2D;PDE1A;CACNA1B;ITPR1;CACNA1A;ITPR2;CACNA1D;CACNA1C;CACNA1E;SLC8A1;RYR3;EGFR;GRIN2A;HRH1;PPP3CC;ERBB3;PHKG2;PLCE1;CAMK1D;PRKCB;PHKA1;ATP2B2;ATP2B1;PHKA2;ADCY9;PLCB4;STIM1;STIM2;VDAC3;VDAC1;CAMK1;CALM1;PLCB1
KEGG_2019_Mouse	Epstein-Barr virus infection	41/229	0.0112169675094423	0.0319850162645485	0	0	1.5332392796031595	6.884746793930638	RB1;CDKN1A;PSMD11;PSMD13;HDAC1;PIK3CB;MAPK9;MAPK8;PSMD7;CCND2;PSMD4;SIN3A;BLNK;RIPK1;RAC1;SKP2;B2M;MAP3K7;JAK1;PDIA3;MAP2K4;USP7;CHUK;STAT1;DDX58;STAT3;MAPK14;NFKB1;NFKBIA;PSMC6;CDK6;PIK3CA;NEDD4;TRAF6;MDM2;BCL2;TAB2;CALR;TAB1;MAP3K14;IRF9
KEGG_2019_Mouse	Propanoate metabolism	9/31	0.0113712851897462	0.0321071581828129	0	0	2.866424874243639	12.832020883308942	LDHB;HADHA;ALDH6A1;ECHS1;BCKDHB;PCCB;ABAT;SUCLG1;ACACA
KEGG_2019_Mouse	Non-alcoholic fatty liver disease (NAFLD)	29/151	0.0119883854079096	0.0335209223056115	0	0	1.6694110553030204	7.385168973999484	NDUFB9;NDUFB7;IRS1;NDUFB11;NDUFA10;PRKAG1;PRKAG2;IRS2;IL6RA;PIK3CB;COX6A1;ADIPOR2;MAPK9;MAPK8;RAC1;NDUFV1;COX8A;MLXIP;NDUFA4;INSR;SDHC;NFKB1;ERN1;ITCH;PIK3CA;NDUFS7;NDUFS4;NDUFS3;PPARA
KEGG_2019_Mouse	Tuberculosis	33/178	0.0130351179576145	0.0359424036786547	0	0	1.5988161384894597	6.93903500471288	RAB5B;RAB7;CEBPB;CAMK2D;CTSS;EEA1;MRC2;MAPK9;MAPK8;PPP3CC;ATP6V0A2;EP300;ATP6V1H;MAPK1;JAK2;ATP6V0A1;JAK1;CD74;CREBBP;ATP6V0B;ARHGEF12;TGFB3;STAT1;NFYC;IL18;MAPK14;NFKB1;RHOA;CREB1;TRAF6;BCL2;RAF1;CALM1
KEGG_2019_Mouse	Adipocytokine signaling pathway	16/71	0.0131040013411762	0.0359424036786547	0	0	2.040223708739993	8.844038546095199	CHUK;IRS1;STAT3;PRKAG1;PRKAG2;IRS2;PTPN11;CPT1C;ADIPOR2;NFKB1;NFKBIA;MAPK9;STK11;MAPK8;JAK2;PPARA
KEGG_2019_Mouse	Glutamatergic synapse	23/114	0.0134056865681701	0.0364229974682358	0	0	1.7739188231123717	7.649273299809016	GRIA1;GRIA2;SLC38A1;HOMER1;PRKCB;ITPR1;CACNA1A;ITPR2;CACNA1D;CACNA1C;GRIN2B;ADCY5;GNAO1;GRIN2A;ADCY9;PPP3CC;PLCB4;GNB1;MAPK1;DLGAP1;PLCB1;SLC38A2;GRIA3
KEGG_2019_Mouse	Progesterone-mediated oocyte maturation	19/90	0.0146597756580019	0.0388929207889257	0	0	1.877333242611871	7.927317247560366	HSP90AA1;HSP90AB1;PDE3B;BRAF;PIK3CB;MAPK14;ANAPC10;ADCY5;MAPK9;MAPK8;ADCY9;PIK3CA;RPS6KA1;ANAPC4;MAPK1;ANAPC5;KRAS;RAF1;CPEB3
KEGG_2019_Mouse	Estrogen signaling pathway	26/134	0.0147198901596975	0.0388929207889257	0	0	1.690044707606274	7.129547612313917	HSP90AB1;ITPR1;ITPR2;PIK3CB;EGFR;HSP90B1;ADCY5;MAPK1;NCOA1;HSPA8;HSP90AA1;NCOA3;GNAO1;ADCY9;CREB1;PLCB4;PIK3CA;BCL2;GRB2;KRAS;RAF1;CALM1;PLCB1;SOS2;HSPA1B;FKBP5
KEGG_2019_Mouse	Oxidative phosphorylation	26/134	0.0147198901596975	0.0388929207889257	0	0	1.690044707606274	7.129547612313917	NDUFB9;NDUFB7;NDUFB11;NDUFA10;ATP5A1;ATP5C1;ATP5H;COX6A1;ATP5O;ATP5G2;ATP5G1;ATP5D;ATP6V0A2;ATP6V1H;ATP6V1E1;NDUFV1;ATP6V0A1;COX8A;ATP6V1G1;ATP6V0B;NDUFA4;SDHC;NDUFS7;NDUFS4;NDUFS3;ATP6V0E
KEGG_2019_Mouse	Salivary secretion	17/78	0.0149464674209643	0.0391325692476157	0	0	1.9546311805125092	8.215862734773111	CHRM3;GUCY1A2;PRKCB;LYZ2;ITPR1;ITPR2;ATP2B2;ATP2B1;RYR3;ADCY5;CST3;ADCY9;PLCB4;KCNMA1;PLCB1;CALM1;PRKG1
